"Time","Balletcore"
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",0
"2020-08-01",0
"2020-09-01",0
"2020-10-01",0
"2020-11-01",0
"2020-12-01",0
"2021-01-01",0
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",45
"2022-03-01",16
"2022-04-01",16
"2022-05-01",7
"2022-06-01",9
"2022-07-01",0
"2022-08-01",16
"2022-09-01",17
"2022-10-01",29
"2022-11-01",32
"2022-12-01",31
"2023-01-01",99
"2023-02-01",100
"2023-03-01",76
"2023-04-01",65
"2023-05-01",46
"2023-06-01",47
"2023-07-01",73
"2023-08-01",57
"2023-09-01",61
"2023-10-01",67
"2023-11-01",74
"2023-12-01",66
"2024-01-01",67
"2024-02-01",69
"2024-03-01",61
"2024-04-01",46
"2024-05-01",49
"2024-06-01",45
"2024-07-01",41
"2024-08-01",43
"2024-09-01",34
"2024-10-01",25
"2024-11-01",38
"2024-12-01",32
"2025-01-01",23
"2025-02-01",28
"2025-03-01",21
"2025-04-01",19
"2025-05-01",22
"2025-06-01",33
"2025-07-01",46
"2025-08-01",28
"2025-09-01",29
"2025-10-01",27
"2025-11-01",34
"2025-12-01",35
"2026-01-01",30
"2026-02-01",53
"2026-03-01",42