"Time","clean girl aesthetic"
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",0
"2020-08-01",0
"2020-09-01",0
"2020-10-01",0
"2020-11-01",0
"2020-12-01",0
"2021-01-01",0
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",3
"2021-12-01",0
"2022-01-01",8
"2022-02-01",10
"2022-03-01",15
"2022-04-01",16
"2022-05-01",55
"2022-06-01",81
"2022-07-01",100
"2022-08-01",78
"2022-09-01",72
"2022-10-01",57
"2022-11-01",50
"2022-12-01",45
"2023-01-01",56
"2023-02-01",55
"2023-03-01",48
"2023-04-01",42
"2023-05-01",34
"2023-06-01",42
"2023-07-01",42
"2023-08-01",47
"2023-09-01",48
"2023-10-01",44
"2023-11-01",66
"2023-12-01",68
"2024-01-01",100
"2024-02-01",66
"2024-03-01",57
"2024-04-01",64
"2024-05-01",58
"2024-06-01",64
"2024-07-01",73
"2024-08-01",72
"2024-09-01",67
"2024-10-01",52
"2024-11-01",66
"2024-12-01",67
"2025-01-01",71
"2025-02-01",58
"2025-03-01",55
"2025-04-01",51
"2025-05-01",57
"2025-06-01",43
"2025-07-01",57
"2025-08-01",59
"2025-09-01",52
"2025-10-01",37
"2025-11-01",51
"2025-12-01",58
"2026-01-01",58
"2026-02-01",52
"2026-03-01",50