"Time","Cottagecore"
"2020-01-01",4
"2020-02-01",7
"2020-03-01",12
"2020-04-01",18
"2020-05-01",27
"2020-06-01",42
"2020-07-01",76
"2020-08-01",76
"2020-09-01",61
"2020-10-01",45
"2020-11-01",100
"2020-12-01",72
"2021-01-01",83
"2021-02-01",86
"2021-03-01",81
"2021-04-01",81
"2021-05-01",70
"2021-06-01",78
"2021-07-01",79
"2021-08-01",61
"2021-09-01",73
"2021-10-01",52
"2021-11-01",53
"2021-12-01",51
"2022-01-01",61
"2022-02-01",53
"2022-03-01",60
"2022-04-01",68
"2022-05-01",62
"2022-06-01",56
"2022-07-01",54
"2022-08-01",46
"2022-09-01",42
"2022-10-01",38
"2022-11-01",36
"2022-12-01",35
"2023-01-01",41
"2023-02-01",41
"2023-03-01",40
"2023-04-01",39
"2023-05-01",35
"2023-06-01",36
"2023-07-01",39
"2023-08-01",34
"2023-09-01",32
"2023-10-01",29
"2023-11-01",27
"2023-12-01",29
"2024-01-01",33
"2024-02-01",31
"2024-03-01",33
"2024-04-01",35
"2024-05-01",35
"2024-06-01",34
"2024-07-01",38
"2024-08-01",39
"2024-09-01",35
"2024-10-01",30
"2024-11-01",28
"2024-12-01",28
"2025-01-01",28
"2025-02-01",27
"2025-03-01",27
"2025-04-01",28
"2025-05-01",26
"2025-06-01",26
"2025-07-01",27
"2025-08-01",26
"2025-09-01",24
"2025-10-01",21
"2025-11-01",23
"2025-12-01",22
"2026-01-01",26
"2026-02-01",44
"2026-03-01",24