"Time","dark academia"
"2020-01-01",5
"2020-02-01",9
"2020-03-01",9
"2020-04-01",9
"2020-05-01",14
"2020-06-01",14
"2020-07-01",21
"2020-08-01",22
"2020-09-01",37
"2020-10-01",41
"2020-11-01",57
"2020-12-01",83
"2021-01-01",100
"2021-02-01",63
"2021-03-01",50
"2021-04-01",44
"2021-05-01",41
"2021-06-01",39
"2021-07-01",47
"2021-08-01",52
"2021-09-01",50
"2021-10-01",43
"2021-11-01",45
"2021-12-01",41
"2022-01-01",46
"2022-02-01",41
"2022-03-01",43
"2022-04-01",44
"2022-05-01",37
"2022-06-01",37
"2022-07-01",44
"2022-08-01",42
"2022-09-01",47
"2022-10-01",40
"2022-11-01",38
"2022-12-01",41
"2023-01-01",40
"2023-02-01",35
"2023-03-01",31
"2023-04-01",27
"2023-05-01",26
"2023-06-01",28
"2023-07-01",32
"2023-08-01",34
"2023-09-01",35
"2023-10-01",35
"2023-11-01",33
"2023-12-01",32
"2024-01-01",34
"2024-02-01",29
"2024-03-01",33
"2024-04-01",33
"2024-05-01",34
"2024-06-01",35
"2024-07-01",48
"2024-08-01",47
"2024-09-01",48
"2024-10-01",41
"2024-11-01",38
"2024-12-01",35
"2025-01-01",32
"2025-02-01",29
"2025-03-01",26
"2025-04-01",23
"2025-05-01",23
"2025-06-01",22
"2025-07-01",35
"2025-08-01",33
"2025-09-01",29
"2025-10-01",29
"2025-11-01",31
"2025-12-01",27
"2026-01-01",27
"2026-02-01",27
"2026-03-01",21