"Time","e-girl aesthetic"
"2020-01-01",71
"2020-02-01",38
"2020-03-01",38
"2020-04-01",46
"2020-05-01",38
"2020-06-01",0
"2020-07-01",54
"2020-08-01",54
"2020-09-01",67
"2020-10-01",42
"2020-11-01",92
"2020-12-01",88
"2021-01-01",83
"2021-02-01",100
"2021-03-01",58
"2021-04-01",75
"2021-05-01",75
"2021-06-01",46
"2021-07-01",63
"2021-08-01",83
"2021-09-01",75
"2021-10-01",67
"2021-11-01",58
"2021-12-01",58
"2022-01-01",63
"2022-02-01",46
"2022-03-01",46
"2022-04-01",38
"2022-05-01",42
"2022-06-01",50
"2022-07-01",46
"2022-08-01",50
"2022-09-01",0
"2022-10-01",0
"2022-11-01",58
"2022-12-01",0
"2023-01-01",38
"2023-02-01",38
"2023-03-01",29
"2023-04-01",0
"2023-05-01",0
"2023-06-01",0
"2023-07-01",0
"2023-08-01",0
"2023-09-01",0
"2023-10-01",0
"2023-11-01",46
"2023-12-01",33
"2024-01-01",0
"2024-02-01",0
"2024-03-01",0
"2024-04-01",0
"2024-05-01",0
"2024-06-01",0
"2024-07-01",0
"2024-08-01",0
"2024-09-01",0
"2024-10-01",0
"2024-11-01",0
"2024-12-01",0
"2025-01-01",0
"2025-02-01",0
"2025-03-01",0
"2025-04-01",0
"2025-05-01",0
"2025-06-01",0
"2025-07-01",0
"2025-08-01",0
"2025-09-01",0
"2025-10-01",0
"2025-11-01",0
"2025-12-01",0
"2026-01-01",38
"2026-02-01",50
"2026-03-01",8