"Time","pilates princess"
"2020-01-01",0
"2020-02-01",0
"2020-03-01",0
"2020-04-01",0
"2020-05-01",0
"2020-06-01",0
"2020-07-01",7
"2020-08-01",0
"2020-09-01",0
"2020-10-01",0
"2020-11-01",0
"2020-12-01",0
"2021-01-01",0
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",11
"2022-02-01",8
"2022-03-01",8
"2022-04-01",0
"2022-05-01",12
"2022-06-01",14
"2022-07-01",8
"2022-08-01",9
"2022-09-01",19
"2022-10-01",20
"2022-11-01",25
"2022-12-01",23
"2023-01-01",34
"2023-02-01",27
"2023-03-01",23
"2023-04-01",21
"2023-05-01",23
"2023-06-01",25
"2023-07-01",31
"2023-08-01",28
"2023-09-01",31
"2023-10-01",33
"2023-11-01",25
"2023-12-01",34
"2024-01-01",38
"2024-02-01",35
"2024-03-01",33
"2024-04-01",33
"2024-05-01",36
"2024-06-01",31
"2024-07-01",40
"2024-08-01",34
"2024-09-01",31
"2024-10-01",33
"2024-11-01",36
"2024-12-01",100
"2025-01-01",63
"2025-02-01",56
"2025-03-01",56
"2025-04-01",43
"2025-05-01",57
"2025-06-01",48
"2025-07-01",53
"2025-08-01",48
"2025-09-01",37
"2025-10-01",44
"2025-11-01",43
"2025-12-01",60
"2026-01-01",67
"2026-02-01",56
"2026-03-01",43