"Time","Quiet Luxury"
"2020-01-01",2
"2020-02-01",2
"2020-03-01",2
"2020-04-01",2
"2020-05-01",2
"2020-06-01",2
"2020-07-01",2
"2020-08-01",3
"2020-09-01",1
"2020-10-01",2
"2020-11-01",2
"2020-12-01",3
"2021-01-01",2
"2021-02-01",3
"2021-03-01",3
"2021-04-01",3
"2021-05-01",5
"2021-06-01",6
"2021-07-01",6
"2021-08-01",4
"2021-09-01",3
"2021-10-01",4
"2021-11-01",3
"2021-12-01",4
"2022-01-01",5
"2022-02-01",6
"2022-03-01",5
"2022-04-01",6
"2022-05-01",7
"2022-06-01",6
"2022-07-01",6
"2022-08-01",6
"2022-09-01",4
"2022-10-01",5
"2022-11-01",6
"2022-12-01",7
"2023-01-01",7
"2023-02-01",7
"2023-03-01",13
"2023-04-01",45
"2023-05-01",59
"2023-06-01",69
"2023-07-01",44
"2023-08-01",47
"2023-09-01",41
"2023-10-01",43
"2023-11-01",40
"2023-12-01",49
"2024-01-01",55
"2024-02-01",51
"2024-03-01",45
"2024-04-01",46
"2024-05-01",38
"2024-06-01",38
"2024-07-01",41
"2024-08-01",38
"2024-09-01",42
"2024-10-01",39
"2024-11-01",40
"2024-12-01",47
"2025-01-01",46
"2025-02-01",40
"2025-03-01",39
"2025-04-01",38
"2025-05-01",39
"2025-06-01",46
"2025-07-01",49
"2025-08-01",48
"2025-09-01",46
"2025-10-01",51
"2025-11-01",74
"2025-12-01",95
"2026-01-01",100
"2026-02-01",97
"2026-03-01",61