"Time","Y2K"
"2020-01-01",10
"2020-02-01",7
"2020-03-01",13
"2020-04-01",10
"2020-05-01",8
"2020-06-01",8
"2020-07-01",13
"2020-08-01",12
"2020-09-01",13
"2020-10-01",11
"2020-11-01",11
"2020-12-01",14
"2021-01-01",17
"2021-02-01",14
"2021-03-01",16
"2021-04-01",18
"2021-05-01",19
"2021-06-01",21
"2021-07-01",27
"2021-08-01",24
"2021-09-01",30
"2021-10-01",28
"2021-11-01",23
"2021-12-01",25
"2022-01-01",27
"2022-02-01",26
"2022-03-01",32
"2022-04-01",33
"2022-05-01",30
"2022-06-01",30
"2022-07-01",35
"2022-08-01",38
"2022-09-01",41
"2022-10-01",43
"2022-11-01",36
"2022-12-01",39
"2023-01-01",42
"2023-02-01",43
"2023-03-01",44
"2023-04-01",47
"2023-05-01",43
"2023-06-01",43
"2023-07-01",49
"2023-08-01",48
"2023-09-01",50
"2023-10-01",52
"2023-11-01",49
"2023-12-01",47
"2024-01-01",50
"2024-02-01",50
"2024-03-01",55
"2024-04-01",54
"2024-05-01",51
"2024-06-01",52
"2024-07-01",61
"2024-08-01",78
"2024-09-01",62
"2024-10-01",56
"2024-11-01",61
"2024-12-01",100
"2025-01-01",62
"2025-02-01",55
"2025-03-01",54
"2025-04-01",72
"2025-05-01",53
"2025-06-01",51
"2025-07-01",57
"2025-08-01",67
"2025-09-01",69
"2025-10-01",59
"2025-11-01",55
"2025-12-01",54
"2026-01-01",59
"2026-02-01",74
"2026-03-01",58